city_development_index,gender,relevent_experience,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
0.527,Male,Has relevent experience,Graduate,STEM,2,10/49,Pvt Ltd,1,88,notmove
0.91,Female,No relevent experience,Graduate,No Major,14,50-99,Pvt Ltd,3,56,notmove
0.926,Male,Has relevent experience,Graduate,STEM,9,<10,Pvt Ltd,1,19,notmove
0.92,Male,Has relevent experience,Masters,STEM,5,10000+,Pvt Ltd,>4,6,notmove
0.926,Male,No relevent experience,Graduate,STEM,>20,<10,Pvt Ltd,4,57,notmove
0.926,Male,Has relevent experience,Masters,STEM,>20,10000+,Pvt Ltd,1,66,notmove
0.55,Male,Has relevent experience,Masters,STEM,4,50-99,NGO,1,110,move
0.893,Male,Has relevent experience,Masters,STEM,>20,100-500,Pvt Ltd,>4,16,notmove
0.579,Male,Has relevent experience,Graduate,STEM,16,50-99,Pvt Ltd,>4,168,move
0.92,Male,Has relevent experience,Masters,STEM,18,10/49,Pvt Ltd,2,47,notmove
0.884,Male,Has relevent experience,Graduate,STEM,11,10/49,Early Stage Startup,1,138,notmove
0.698,Male,Has relevent experience,Masters,STEM,>20,100-500,Pvt Ltd,1,30,notmove
0.939,Female,Has relevent experience,Graduate,STEM,15,500-999,Pvt Ltd,1,44,notmove
0.939,Male,Has relevent experience,Masters,STEM,>20,50-99,Pvt Ltd,2,163,notmove
0.913,Male,Has relevent experience,Masters,STEM,11,10/49,Early Stage Startup,1,45,notmove
0.887,Male,Has relevent experience,Phd,STEM,10,10/49,Pvt Ltd,2,218,notmove
0.624,Male,Has relevent experience,Masters,STEM,5,10/49,Pvt Ltd,2,52,move
0.92,Male,Has relevent experience,Graduate,STEM,>20,10000+,Pvt Ltd,>4,72,notmove
0.92,Male,Has relevent experience,Graduate,STEM,7,<10,Pvt Ltd,1,28,notmove
0.836,Male,No relevent experience,Graduate,STEM,11,50-99,Pvt Ltd,never,28,notmove
0.579,Male,Has relevent experience,Graduate,STEM,6,100-500,Pvt Ltd,1,8,notmove
0.91,Male,Has relevent experience,Graduate,STEM,4,1000-4999,Pvt Ltd,1,44,notmove
0.624,Male,Has relevent experience,Graduate,STEM,15,5000-9999,Pvt Ltd,3,67,move
0.836,Male,Has relevent experience,Graduate,STEM,11,100-500,Pvt Ltd,never,30,notmove
0.624,Male,Has relevent experience,Graduate,STEM,3,50-99,Funded Startup,1,61,move
0.92,Male,Has relevent experience,Graduate,STEM,>20,50-99,Pvt Ltd,1,35,notmove
0.926,Male,Has relevent experience,Masters,STEM,10,10000+,Pvt Ltd,2,50,notmove
0.91,Male,Has relevent experience,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,64,notmove
0.74,Male,Has relevent experience,Graduate,STEM,>20,100-500,Pvt Ltd,3,65,notmove
0.739,Male,Has relevent experience,Graduate,STEM,8,10/49,Pvt Ltd,1,119,notmove
0.624,Male,Has relevent experience,Graduate,STEM,4,1000-4999,Pvt Ltd,1,74,notmove
0.913,Male,Has relevent experience,Graduate,STEM,14,100-500,Pvt Ltd,1,6,notmove
0.926,Male,Has relevent experience,Graduate,STEM,5,10/49,Public Sector,1,53,notmove
0.92,Male,Has relevent experience,Graduate,STEM,5,100-500,Pvt Ltd,2,90,notmove
0.624,Male,Has relevent experience,Graduate,Business Degree,8,100-500,Pvt Ltd,1,52,move
0.92,Male,No relevent experience,Graduate,Business Degree,5,10000+,Pvt Ltd,>4,12,notmove
0.92,Male,Has relevent experience,Graduate,STEM,14,10000+,Pvt Ltd,>4,43,notmove
0.899,Male,Has relevent experience,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,22,move
0.926,Male,Has relevent experience,Graduate,Humanities,18,100-500,Pvt Ltd,>4,61,notmove
0.897,Male,Has relevent experience,Masters,STEM,>20,500-999,Pvt Ltd,1,145,notmove
0.926,Female,Has relevent experience,Graduate,STEM,11,100-500,Pvt Ltd,2,30,move
0.624,Male,Has relevent experience,Graduate,STEM,8,100-500,Pvt Ltd,1,96,notmove
0.899,Male,Has relevent experience,Graduate,Humanities,18,50-99,Pvt Ltd,1,20,notmove
0.776,Male,Has relevent experience,Masters,STEM,6,<10,Pvt Ltd,2,54,notmove
0.624,Male,Has relevent experience,Masters,STEM,4,50-99,Pvt Ltd,1,22,notmove
0.921,Male,Has relevent experience,Graduate,Humanities,13,<10,Funded Startup,1,150,notmove
0.92,Male,Has relevent experience,Graduate,STEM,10,50-99,Pvt Ltd,1,32,notmove
0.649,Male,Has relevent experience,Graduate,STEM,1,10/49,Early Stage Startup,never,19,notmove
0.939,Male,No relevent experience,Masters,STEM,4,1000-4999,Pvt Ltd,2,44,notmove
0.91,Male,Has relevent experience,Graduate,STEM,9,50-99,Pvt Ltd,1,9,notmove
0.624,Female,No relevent experience,Graduate,STEM,4,50-99,Pvt Ltd,1,3,move
0.92,Male,Has relevent experience,Graduate,Other,7,5000-9999,Pvt Ltd,1,41,move
0.92,Male,Has relevent experience,Graduate,Business Degree,7,<10,Pvt Ltd,1,116,notmove
0.92,Female,No relevent experience,Graduate,Humanities,1,500-999,Public Sector,never,95,move
0.624,Male,Has relevent experience,Graduate,STEM,1,10000+,Pvt Ltd,1,42,notmove
0.913,Male,Has relevent experience,Graduate,STEM,19,5000-9999,Public Sector,>4,9,notmove
0.624,Female,No relevent experience,Masters,STEM,13,1000-4999,Pvt Ltd,>4,56,move
0.624,Male,Has relevent experience,Graduate,STEM,<1,10/49,Pvt Ltd,1,22,notmove
0.804,Male,Has relevent experience,Graduate,STEM,16,50-99,Pvt Ltd,>4,52,notmove
0.92,Male,Has relevent experience,Graduate,STEM,3,100-500,Funded Startup,1,82,notmove
0.896,Male,Has relevent experience,Graduate,STEM,8,<10,Pvt Ltd,3,39,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,31,notmove
0.92,Female,Has relevent experience,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,40,notmove
0.754,Male,Has relevent experience,Graduate,STEM,4,10/49,Pvt Ltd,1,96,notmove
0.939,Male,Has relevent experience,Graduate,STEM,20,100-500,NGO,>4,82,notmove
0.92,Male,Has relevent experience,Graduate,STEM,11,<10,Funded Startup,1,24,notmove
0.624,Male,Has relevent experience,Graduate,STEM,2,10/49,Early Stage Startup,1,34,move
0.924,Male,Has relevent experience,Graduate,STEM,11,<10,Funded Startup,3,40,notmove
0.91,Male,Has relevent experience,Graduate,STEM,>20,50-99,Pvt Ltd,3,167,move
0.92,Male,Has relevent experience,Graduate,STEM,>20,10000+,Pvt Ltd,>4,81,notmove
0.92,Male,Has relevent experience,Graduate,STEM,15,10/49,Other,>4,30,notmove
0.92,Female,Has relevent experience,Graduate,STEM,8,100-500,Pvt Ltd,2,314,notmove
0.92,Male,Has relevent experience,Graduate,STEM,9,1000-4999,Pvt Ltd,never,28,notmove
0.92,Male,Has relevent experience,Graduate,STEM,16,1000-4999,Pvt Ltd,1,30,notmove
0.92,Male,Has relevent experience,Graduate,STEM,14,<10,Pvt Ltd,2,110,notmove
0.91,Male,Has relevent experience,Masters,Other,13,1000-4999,NGO,>4,182,notmove
0.926,Male,Has relevent experience,Masters,STEM,>20,10/49,Pvt Ltd,>4,70,notmove
0.624,Female,Has relevent experience,Graduate,STEM,7,10000+,Pvt Ltd,1,118,notmove
0.91,Male,Has relevent experience,Phd,STEM,>20,50-99,Pvt Ltd,>4,55,notmove
0.92,Female,Has relevent experience,Graduate,STEM,2,10/49,Pvt Ltd,never,168,notmove
0.624,Male,Has relevent experience,Graduate,STEM,6,10000+,Pvt Ltd,3,68,move
0.92,Male,No relevent experience,Graduate,STEM,15,100-500,Pvt Ltd,>4,32,notmove
0.92,Male,Has relevent experience,Graduate,STEM,13,1000-4999,Pvt Ltd,2,14,notmove
0.769,Male,Has relevent experience,Masters,STEM,14,5000-9999,Public Sector,2,36,notmove
0.926,Male,No relevent experience,Masters,Humanities,11,50-99,Pvt Ltd,3,90,notmove
0.624,Female,No relevent experience,Masters,STEM,6,10/49,Pvt Ltd,1,29,notmove
0.624,Male,Has relevent experience,Graduate,STEM,10,10000+,Pvt Ltd,1,24,notmove
0.804,Male,Has relevent experience,Graduate,STEM,2,100-500,Pvt Ltd,1,31,notmove
0.91,Female,Has relevent experience,Graduate,STEM,12,10/49,Pvt Ltd,3,10,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,10000+,Pvt Ltd,>4,37,notmove
0.624,Male,Has relevent experience,Graduate,STEM,8,500-999,Pvt Ltd,1,70,move
0.893,Male,Has relevent experience,Graduate,Arts,8,10/49,Public Sector,1,23,notmove
0.896,Male,No relevent experience,Masters,STEM,5,50-99,Public Sector,1,95,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,1000-4999,Pvt Ltd,4,6,notmove
0.887,Male,Has relevent experience,Graduate,STEM,>20,50-99,Pvt Ltd,4,80,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,30,move
0.92,Male,Has relevent experience,Graduate,STEM,17,10/49,Funded Startup,2,36,notmove
0.92,Male,Has relevent experience,Graduate,Humanities,6,50-99,Pvt Ltd,1,45,notmove
0.666,Male,Has relevent experience,Graduate,STEM,>20,<10,Pvt Ltd,>4,94,notmove
0.92,Male,Has relevent experience,Graduate,Humanities,8,10000+,Pvt Ltd,1,21,notmove
0.897,Male,Has relevent experience,Graduate,STEM,14,100-500,Pvt Ltd,1,16,notmove
0.92,Male,Has relevent experience,Graduate,STEM,10,50-99,Funded Startup,1,83,notmove
0.92,Male,Has relevent experience,Graduate,Humanities,10,10/49,Pvt Ltd,>4,150,notmove
0.926,Male,Has relevent experience,Masters,STEM,>20,<10,Pvt Ltd,>4,54,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,78,notmove
0.893,Male,Has relevent experience,Graduate,Humanities,>20,1000-4999,Pvt Ltd,1,96,notmove
0.804,Male,Has relevent experience,Phd,STEM,>20,100-500,Public Sector,>4,28,move
0.926,Male,Has relevent experience,Masters,STEM,16,1000-4999,Pvt Ltd,1,13,notmove
0.624,Male,Has relevent experience,Graduate,STEM,6,10000+,Pvt Ltd,1,55,notmove
0.92,Female,No relevent experience,Graduate,Humanities,4,100-500,NGO,2,68,notmove
0.92,Male,Has relevent experience,Masters,STEM,10,10000+,Pvt Ltd,>4,23,move
0.92,Male,Has relevent experience,Masters,Humanities,>20,10/49,NGO,>4,278,notmove
0.836,Male,Has relevent experience,Graduate,STEM,9,10/49,Pvt Ltd,1,86,notmove
0.926,Male,No relevent experience,Masters,STEM,8,50-99,Pvt Ltd,1,20,notmove
0.827,Male,Has relevent experience,Graduate,STEM,>20,50-99,Pvt Ltd,>4,118,notmove
0.926,Male,Has relevent experience,Masters,STEM,15,50-99,Pvt Ltd,1,39,notmove
0.624,Male,Has relevent experience,Graduate,STEM,4,10/49,Pvt Ltd,1,105,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,500-999,Pvt Ltd,>4,188,move
0.624,Male,Has relevent experience,Masters,STEM,7,100-500,Pvt Ltd,4,104,move
0.666,Male,Has relevent experience,Graduate,Humanities,2,100-500,Pvt Ltd,2,14,move
0.739,Male,Has relevent experience,Graduate,STEM,>20,<10,Pvt Ltd,>4,12,notmove
0.92,Male,Has relevent experience,Phd,STEM,14,10000+,Pvt Ltd,1,54,notmove
0.926,Male,No relevent experience,Graduate,STEM,10,100-500,Pvt Ltd,1,4,move
0.92,Male,No relevent experience,Graduate,STEM,8,50-99,Funded Startup,4,33,notmove
0.763,Male,Has relevent experience,Graduate,STEM,9,100-500,Pvt Ltd,1,68,notmove
0.855,Male,Has relevent experience,Masters,STEM,>20,50-99,Funded Startup,1,55,notmove
0.92,Male,No relevent experience,Masters,Business Degree,>20,1000-4999,Pvt Ltd,3,16,notmove
0.92,Male,Has relevent experience,Masters,Humanities,>20,50-99,Pvt Ltd,1,30,notmove
0.92,Male,Has relevent experience,Graduate,Arts,10,10/49,Pvt Ltd,2,80,notmove
0.897,Male,Has relevent experience,Graduate,STEM,7,<10,Pvt Ltd,3,27,notmove
0.92,Male,Has relevent experience,Graduate,STEM,19,500-999,Pvt Ltd,>4,16,notmove
0.92,Male,Has relevent experience,Masters,STEM,7,10000+,Public Sector,1,56,move
0.92,Female,Has relevent experience,Graduate,STEM,20,100-500,Pvt Ltd,>4,130,notmove
0.939,Male,Has relevent experience,Graduate,STEM,4,5000-9999,Pvt Ltd,1,109,notmove
0.92,Male,Has relevent experience,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,94,notmove
0.91,Male,Has relevent experience,Graduate,STEM,>20,50-99,Pvt Ltd,>4,162,notmove
0.624,Male,Has relevent experience,Graduate,STEM,9,50-99,Funded Startup,2,118,notmove
0.843,Male,Has relevent experience,Graduate,STEM,>20,10000+,Public Sector,>4,12,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,1000-4999,NGO,1,117,notmove
0.624,Male,Has relevent experience,Masters,STEM,8,1000-4999,Pvt Ltd,never,78,move
0.698,Male,Has relevent experience,Graduate,STEM,7,50-99,Funded Startup,3,51,notmove
0.92,Female,Has relevent experience,Masters,STEM,10,1000-4999,Public Sector,1,20,move
0.926,Male,Has relevent experience,Masters,STEM,10,50-99,Pvt Ltd,1,9,notmove
0.91,Male,Has relevent experience,Graduate,STEM,>20,100-500,Pvt Ltd,>4,114,notmove
0.92,Male,Has relevent experience,Masters,STEM,10,10000+,Pvt Ltd,2,99,notmove
0.92,Female,No relevent experience,Phd,Humanities,>20,1000-4999,NGO,4,214,move
0.647,Male,Has relevent experience,Masters,STEM,10,50-99,Pvt Ltd,1,74,notmove
0.92,Male,Has relevent experience,Graduate,STEM,17,100-500,Funded Startup,1,70,notmove
0.939,Male,Has relevent experience,Graduate,STEM,>20,10000+,Pvt Ltd,>4,102,notmove
0.624,Male,Has relevent experience,Graduate,STEM,5,50-99,Pvt Ltd,1,168,move
0.91,Male,Has relevent experience,Graduate,STEM,>20,100-500,Pvt Ltd,>4,83,notmove
0.878,Male,Has relevent experience,Masters,STEM,13,10000+,Pvt Ltd,3,28,notmove
0.855,Male,Has relevent experience,Masters,STEM,6,10000+,Pvt Ltd,3,37,notmove
0.92,Male,Has relevent experience,Graduate,STEM,6,10000+,Pvt Ltd,3,170,notmove
0.926,Male,Has relevent experience,Graduate,STEM,5,50-99,Pvt Ltd,1,18,notmove
0.624,Male,Has relevent experience,Graduate,STEM,<1,100-500,Pvt Ltd,never,284,move
0.926,Female,No relevent experience,Graduate,STEM,9,<10,Pvt Ltd,1,56,notmove
0.92,Male,Has relevent experience,Graduate,STEM,4,1000-4999,NGO,4,23,notmove
0.92,Male,No relevent experience,Graduate,STEM,13,<10,Pvt Ltd,>4,34,notmove
0.926,Male,Has relevent experience,Graduate,STEM,9,10000+,Pvt Ltd,2,74,notmove
0.624,Male,Has relevent experience,Masters,STEM,8,50-99,Public Sector,1,18,notmove
0.92,Male,Has relevent experience,Masters,STEM,>20,10/49,Pvt Ltd,>4,7,notmove
0.698,Male,Has relevent experience,Graduate,STEM,2,100-500,Pvt Ltd,1,10,notmove
0.91,Male,Has relevent experience,Masters,STEM,13,100-500,Pvt Ltd,2,328,notmove
0.899,Male,Has relevent experience,Graduate,STEM,15,10000+,Pvt Ltd,2,6,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,10000+,Pvt Ltd,4,57,notmove
0.915,Male,Has relevent experience,Masters,STEM,9,10000+,Public Sector,2,68,move
0.836,Male,Has relevent experience,Graduate,STEM,13,50-99,Pvt Ltd,3,20,notmove
0.802,Male,Has relevent experience,Graduate,STEM,15,500-999,Pvt Ltd,>4,10,notmove
0.899,Male,Has relevent experience,Graduate,STEM,>20,10000+,Pvt Ltd,>4,7,move
0.624,Male,No relevent experience,Graduate,STEM,5,10000+,Pvt Ltd,never,28,move
0.893,Male,Has relevent experience,Graduate,Business Degree,>20,100-500,Pvt Ltd,>4,25,notmove
0.555,Male,Has relevent experience,Graduate,Humanities,6,100-500,Funded Startup,2,70,move
0.897,Male,Has relevent experience,Graduate,STEM,17,500-999,Pvt Ltd,1,18,notmove
0.92,Male,Has relevent experience,Masters,STEM,>20,1000-4999,Pvt Ltd,3,86,notmove
0.624,Male,Has relevent experience,Masters,STEM,2,1000-4999,Pvt Ltd,1,34,move
0.92,Male,No relevent experience,Graduate,STEM,>20,<10,Pvt Ltd,>4,69,notmove
0.843,Male,Has relevent experience,Masters,STEM,18,10000+,Pvt Ltd,4,7,notmove
0.92,Male,Has relevent experience,Graduate,Humanities,>20,100-500,Pvt Ltd,3,11,move
0.926,Male,Has relevent experience,Graduate,STEM,9,5000-9999,Public Sector,1,37,notmove
0.92,Male,Has relevent experience,Graduate,STEM,12,10/49,Early Stage Startup,4,50,notmove
0.91,Female,Has relevent experience,Masters,Humanities,2,100-500,Pvt Ltd,1,20,notmove
0.897,Female,Has relevent experience,Masters,Arts,9,<10,Public Sector,3,28,notmove
0.624,Male,Has relevent experience,Graduate,STEM,8,5000-9999,Pvt Ltd,1,57,move
0.92,Male,Has relevent experience,Graduate,STEM,10,10000+,Pvt Ltd,>4,39,notmove
0.926,Female,Has relevent experience,Masters,Other,7,50-99,Pvt Ltd,2,83,notmove
0.92,Male,Has relevent experience,Graduate,STEM,16,10000+,Pvt Ltd,>4,90,notmove
0.579,Male,No relevent experience,Masters,STEM,2,100-500,Pvt Ltd,2,32,notmove
0.92,Male,Has relevent experience,Graduate,STEM,10,10000+,Pvt Ltd,1,55,notmove
0.887,Male,Has relevent experience,Masters,STEM,13,50-99,Pvt Ltd,2,83,notmove
0.624,Male,Has relevent experience,Graduate,STEM,5,10/49,Pvt Ltd,1,92,notmove
0.92,Male,Has relevent experience,Graduate,Other,3,100-500,NGO,1,74,notmove
0.92,Male,Has relevent experience,Graduate,STEM,14,100-500,Funded Startup,1,11,notmove
0.899,Male,Has relevent experience,Graduate,STEM,16,500-999,Funded Startup,4,50,notmove
0.926,Male,Has relevent experience,Masters,STEM,>20,1000-4999,Pvt Ltd,2,59,notmove
0.92,Male,Has relevent experience,Graduate,STEM,16,10000+,Pvt Ltd,3,12,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,100-500,Pvt Ltd,>4,29,notmove
0.781,Female,Has relevent experience,Masters,STEM,7,10000+,Pvt Ltd,1,21,notmove
0.92,Male,No relevent experience,Graduate,STEM,<1,100-500,Funded Startup,1,17,move
0.794,Female,Has relevent experience,Graduate,STEM,5,1000-4999,Pvt Ltd,1,65,notmove
0.92,Male,Has relevent experience,Graduate,STEM,4,50-99,Pvt Ltd,1,42,notmove
0.804,Male,Has relevent experience,Masters,STEM,7,10000+,Public Sector,1,2,move
0.926,Male,No relevent experience,Phd,STEM,>20,10000+,Pvt Ltd,1,18,notmove
0.926,Male,No relevent experience,Graduate,STEM,7,100-500,Pvt Ltd,1,324,move
0.767,Male,Has relevent experience,Graduate,STEM,4,50-99,Pvt Ltd,1,26,notmove
0.689,Male,Has relevent experience,Graduate,STEM,16,10/49,Pvt Ltd,>4,140,notmove
0.92,Male,No relevent experience,Graduate,STEM,20,50-99,Pvt Ltd,>4,7,notmove
0.624,Male,Has relevent experience,Masters,STEM,1,50-99,Pvt Ltd,1,22,notmove
0.624,Male,Has relevent experience,Graduate,STEM,10,50-99,Pvt Ltd,never,44,move
0.92,Male,Has relevent experience,Graduate,STEM,9,100-500,Early Stage Startup,>4,78,notmove
0.897,Male,Has relevent experience,Masters,STEM,11,50-99,Pvt Ltd,2,12,notmove
0.92,Male,Has relevent experience,Graduate,STEM,7,10000+,Pvt Ltd,3,28,notmove
0.893,Male,Has relevent experience,Masters,STEM,10,1000-4999,Pvt Ltd,>4,222,notmove
0.92,Male,No relevent experience,Masters,STEM,9,50-99,Public Sector,>4,13,notmove
0.92,Male,Has relevent experience,Graduate,STEM,10,10000+,Pvt Ltd,3,33,notmove
0.689,Male,No relevent experience,Graduate,STEM,5,<10,Pvt Ltd,1,61,notmove
0.924,Male,Has relevent experience,Graduate,Arts,12,<10,Early Stage Startup,never,50,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,100-500,Pvt Ltd,>4,49,notmove
0.91,Male,No relevent experience,Graduate,STEM,8,100-500,Funded Startup,1,74,notmove
0.884,Male,Has relevent experience,Graduate,STEM,5,10000+,Pvt Ltd,1,7,notmove
0.92,Female,No relevent experience,Graduate,STEM,9,10000+,Pvt Ltd,4,34,notmove
0.848,Male,Has relevent experience,Graduate,STEM,7,50-99,Pvt Ltd,never,86,notmove
0.847,Male,No relevent experience,Graduate,STEM,20,10000+,Pvt Ltd,never,9,notmove
0.92,Male,Has relevent experience,Graduate,STEM,13,50-99,Funded Startup,1,84,notmove
0.926,Female,Has relevent experience,Masters,STEM,>20,10000+,Pvt Ltd,1,140,notmove
0.92,Male,Has relevent experience,Graduate,No Major,7,1000-4999,Public Sector,>4,22,notmove
0.897,Male,Has relevent experience,Masters,STEM,14,100-500,Pvt Ltd,1,83,notmove
0.624,Male,Has relevent experience,Graduate,STEM,4,5000-9999,Pvt Ltd,1,70,notmove
0.754,Male,No relevent experience,Phd,STEM,>20,10000+,Public Sector,>4,26,notmove
0.91,Male,Has relevent experience,Graduate,STEM,5,50-99,Pvt Ltd,1,70,notmove
0.92,Male,No relevent experience,Graduate,Other,6,10000+,Public Sector,3,55,notmove
0.738,Male,Has relevent experience,Graduate,STEM,3,100-500,Pvt Ltd,1,55,move
0.827,Male,Has relevent experience,Masters,STEM,13,1000-4999,Pvt Ltd,never,15,notmove
0.92,Male,Has relevent experience,Graduate,STEM,19,100-500,Pvt Ltd,2,48,notmove
0.92,Male,Has relevent experience,Graduate,STEM,6,1000-4999,Pvt Ltd,1,106,notmove
0.83,Male,Has relevent experience,Graduate,STEM,15,10/49,Pvt Ltd,2,16,notmove
0.92,Female,Has relevent experience,Graduate,STEM,14,100-500,Public Sector,2,64,notmove
0.624,Male,No relevent experience,Graduate,No Major,2,50-99,Early Stage Startup,never,83,notmove
0.624,Male,Has relevent experience,Graduate,STEM,5,10000+,Pvt Ltd,1,21,move
0.866,Male,No relevent experience,Phd,STEM,9,100-500,Pvt Ltd,>4,53,notmove
0.926,Male,No relevent experience,Masters,STEM,16,1000-4999,NGO,>4,101,notmove
0.802,Female,Has relevent experience,Graduate,STEM,8,100-500,Pvt Ltd,2,22,move
0.92,Male,Has relevent experience,Graduate,Arts,>20,100-500,Funded Startup,1,28,notmove
0.926,Male,Has relevent experience,Graduate,STEM,>20,10/49,Pvt Ltd,>4,21,notmove
0.92,Male,Has relevent experience,Graduate,STEM,15,10000+,Pvt Ltd,>4,37,notmove
0.92,Male,Has relevent experience,Graduate,Other,>20,100-500,Pvt Ltd,>4,33,notmove
0.897,Male,Has relevent experience,Masters,STEM,<1,<10,Pvt Ltd,1,114,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,1000-4999,Pvt Ltd,4,69,notmove
0.887,Male,Has relevent experience,Graduate,STEM,>20,100-500,Pvt Ltd,2,139,notmove
0.92,Female,Has relevent experience,Graduate,STEM,>20,50-99,Pvt Ltd,>4,83,notmove
0.92,Male,Has relevent experience,Graduate,STEM,6,10/49,Pvt Ltd,3,26,notmove
0.624,Male,Has relevent experience,Graduate,STEM,10,1000-4999,Pvt Ltd,1,7,notmove
0.624,Male,Has relevent experience,Masters,STEM,5,50-99,Pvt Ltd,2,23,notmove
0.92,Male,Has relevent experience,Graduate,STEM,6,50-99,Funded Startup,1,11,notmove
0.92,Male,Has relevent experience,Graduate,STEM,17,10000+,Pvt Ltd,1,48,notmove
