city_development_index,gender,relevent_experience,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
0.802,Male,Has relevent experience,Graduate,STEM,9,50-99,Pvt Ltd,1,33,notmove
0.802,Male,Has relevent experience,Graduate,STEM,6,50-99,Pvt Ltd,2,14,move
0.55,Male,Has relevent experience,Graduate,STEM,6,10/49,Pvt Ltd,2,27,move
0.55,Male,Has relevent experience,Graduate,STEM,8,100-500,Pvt Ltd,1,24,move
0.92,Female,Has relevent experience,Graduate,STEM,11,500-999,NGO,>4,20,notmove
0.91,Male,Has relevent experience,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,notmove
0.939,Male,Has relevent experience,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,notmove
0.897,Male,Has relevent experience,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,notmove
0.624,Male,Has relevent experience,Graduate,STEM,2,<10,Pvt Ltd,2,2,move
0.91,Male,Has relevent experience,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,notmove
0.855,Male,Has relevent experience,Graduate,STEM,8,50-99,Pvt Ltd,1,210,notmove
0.926,Male,Has relevent experience,Graduate,STEM,10,<10,Pvt Ltd,1,36,notmove
0.624,Male,Has relevent experience,Graduate,STEM,2,10/49,NGO,2,101,notmove
0.925,Male,Has relevent experience,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,notmove
0.624,Male,Has relevent experience,Graduate,STEM,3,100-500,Pvt Ltd,2,26,move
0.896,Male,Has relevent experience,Graduate,STEM,9,<10,Pvt Ltd,4,59,notmove
0.92,Male,Has relevent experience,Graduate,Business Degree,10,50-99,Funded Startup,1,260,notmove
0.624,Female,Has relevent experience,Graduate,STEM,11,50-99,Pvt Ltd,>4,74,notmove
0.91,Male,Has relevent experience,Phd,STEM,>20,100-500,Pvt Ltd,2,20,move
0.878,Male,Has relevent experience,Graduate,STEM,12,100-500,Pvt Ltd,2,8,notmove
0.92,Male,Has relevent experience,Graduate,STEM,6,100-500,Pvt Ltd,1,131,notmove
0.693,Male,Has relevent experience,Graduate,STEM,11,10/49,Pvt Ltd,2,109,notmove
0.855,Male,Has relevent experience,Graduate,Humanities,3,100-500,Pvt Ltd,1,70,notmove
0.92,Female,Has relevent experience,Graduate,STEM,>20,100-500,NGO,>4,17,notmove
0.92,Female,No relevent experience,Masters,STEM,15,50-99,Pvt Ltd,1,51,notmove
0.92,Female,Has relevent experience,Graduate,STEM,6,50-99,Pvt Ltd,3,60,move
0.926,Male,No relevent experience,Graduate,STEM,12,100-500,Pvt Ltd,>4,7,notmove
0.92,Male,No relevent experience,Masters,Humanities,3,10000+,Pvt Ltd,1,133,move
0.92,Male,Has relevent experience,Graduate,STEM,10,<10,Funded Startup,1,76,notmove
0.624,Female,Has relevent experience,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,notmove
0.92,Male,No relevent experience,Graduate,STEM,9,<10,Pvt Ltd,2,15,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,notmove
0.855,Male,Has relevent experience,Graduate,STEM,6,500-999,Pvt Ltd,never,102,notmove
0.92,Male,No relevent experience,Phd,STEM,>20,50-99,Pvt Ltd,>4,14,notmove
0.624,Male,Has relevent experience,Graduate,STEM,6,10000+,Pvt Ltd,4,49,move
0.925,Male,Has relevent experience,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,move
0.92,Male,Has relevent experience,Graduate,STEM,13,10000+,Pvt Ltd,1,6,notmove
0.92,Male,Has relevent experience,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,notmove
0.92,Male,Has relevent experience,Graduate,Other,>20,100-500,Pvt Ltd,2,33,notmove
0.92,Female,Has relevent experience,Masters,STEM,15,10000+,Pvt Ltd,>4,55,notmove
0.698,Male,No relevent experience,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32,notmove
0.92,Male,Has relevent experience,Graduate,Arts,>20,100-500,Pvt Ltd,>4,11,notmove
0.754,Male,Has relevent experience,Graduate,STEM,>20,<10,Pvt Ltd,1,41,notmove
0.92,Male,Has relevent experience,Masters,STEM,>20,10000+,Public Sector,>4,87,move
0.855,Male,Has relevent experience,Masters,STEM,10,100-500,Pvt Ltd,4,114,notmove
0.698,Male,Has relevent experience,Masters,STEM,5,<10,Early Stage Startup,1,15,notmove
0.92,Male,Has relevent experience,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13,notmove
0.949,Male,Has relevent experience,Graduate,STEM,>20,<10,Public Sector,1,246,notmove
0.92,Male,Has relevent experience,Masters,STEM,9,10/49,Pvt Ltd,1,22,notmove
0.92,Male,Has relevent experience,Masters,STEM,>20,<10,Funded Startup,1,81,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,100-500,Funded Startup,1,50,notmove
0.939,Male,Has relevent experience,Masters,STEM,>20,10/49,Pvt Ltd,>4,31,notmove
0.926,Male,Has relevent experience,Masters,STEM,>20,50-99,Pvt Ltd,never,84,notmove
0.897,Male,Has relevent experience,Graduate,STEM,4,10000+,Pvt Ltd,1,42,notmove
0.92,Female,Has relevent experience,Graduate,STEM,>20,50-99,Pvt Ltd,>4,72,notmove
0.789,Male,Has relevent experience,Graduate,STEM,14,10/49,Pvt Ltd,>4,42,move
0.698,Male,Has relevent experience,Graduate,STEM,15,50-99,Early Stage Startup,1,152,notmove
0.92,Male,Has relevent experience,Graduate,STEM,12,10000+,Pvt Ltd,1,60,notmove
0.91,Male,Has relevent experience,Masters,STEM,4,100-500,Funded Startup,never,38,notmove
0.92,Male,Has relevent experience,Graduate,Humanities,14,<10,Early Stage Startup,2,178,notmove
0.92,Male,Has relevent experience,Graduate,STEM,15,50-99,Pvt Ltd,1,11,notmove
0.884,Male,Has relevent experience,Graduate,STEM,>20,100-500,Early Stage Startup,2,32,notmove
0.624,Male,No relevent experience,Graduate,STEM,2,500-999,Public Sector,1,39,notmove
0.903,Male,Has relevent experience,Graduate,STEM,3,100-500,Pvt Ltd,1,55,move
0.92,Male,Has relevent experience,Masters,Humanities,2,50-99,Early Stage Startup,1,104,notmove
0.92,Male,Has relevent experience,Masters,Other,>20,100-500,Pvt Ltd,>4,8,notmove
0.624,Male,Has relevent experience,Masters,STEM,3,50-99,Funded Startup,1,88,notmove
0.92,Male,Has relevent experience,Masters,STEM,>20,10000+,Pvt Ltd,1,7,notmove
0.91,Male,Has relevent experience,Graduate,STEM,>20,10000+,Pvt Ltd,>4,62,notmove
0.92,Male,Has relevent experience,Graduate,STEM,6,50-99,Pvt Ltd,1,83,notmove
0.939,Male,Has relevent experience,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,11,notmove
0.939,Male,Has relevent experience,Masters,STEM,10,1000-4999,Pvt Ltd,1,114,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,50-99,Public Sector,>4,108,notmove
0.92,Male,Has relevent experience,Graduate,STEM,2,100-500,Pvt Ltd,2,45,notmove
0.926,Male,Has relevent experience,Masters,STEM,15,100-500,Pvt Ltd,2,8,notmove
0.727,Female,Has relevent experience,Graduate,STEM,9,100-500,Funded Startup,>4,37,notmove
0.92,Male,Has relevent experience,Graduate,STEM,13,500-999,Pvt Ltd,2,162,notmove
0.903,Male,Has relevent experience,Masters,STEM,19,100-500,Pvt Ltd,4,4,notmove
0.884,Female,No relevent experience,Phd,STEM,3,1000-4999,Public Sector,1,41,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,50-99,Pvt Ltd,1,190,notmove
0.92,Male,Has relevent experience,Graduate,STEM,6,100-500,Public Sector,1,11,notmove
0.926,Male,No relevent experience,Graduate,STEM,>20,50-99,Pvt Ltd,>4,5,notmove
0.926,Male,Has relevent experience,Masters,STEM,10,50-99,Pvt Ltd,>4,29,notmove
0.92,Male,Has relevent experience,Graduate,STEM,9,50-99,Pvt Ltd,3,44,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,1000-4999,NGO,>4,74,notmove
0.624,Male,Has relevent experience,Masters,STEM,6,10/49,Pvt Ltd,1,8,move
0.92,Male,Has relevent experience,Graduate,STEM,3,500-999,Pvt Ltd,1,162,notmove
0.666,Male,Has relevent experience,Graduate,STEM,9,10/49,Pvt Ltd,1,19,move
0.926,Male,Has relevent experience,Masters,STEM,11,10/49,Early Stage Startup,1,40,notmove
0.884,Male,Has relevent experience,Graduate,STEM,12,50-99,Pvt Ltd,1,11,notmove
0.923,Male,No relevent experience,Masters,STEM,3,10000+,Pvt Ltd,never,30,notmove
0.92,Male,Has relevent experience,Graduate,STEM,5,1000-4999,Public Sector,2,40,notmove
0.91,Male,Has relevent experience,Phd,STEM,>20,100-500,Pvt Ltd,2,27,notmove
0.92,Male,Has relevent experience,Graduate,STEM,13,50-99,Funded Startup,1,96,notmove
0.949,Male,Has relevent experience,Graduate,STEM,4,50-99,Funded Startup,4,42,notmove
0.64,Male,Has relevent experience,Graduate,STEM,>20,50-99,Pvt Ltd,never,40,move
0.92,Male,Has relevent experience,Graduate,STEM,5,100-500,Funded Startup,2,94,notmove
0.878,Male,No relevent experience,Graduate,STEM,10,10/49,Early Stage Startup,1,25,notmove
0.516,Male,Has relevent experience,Graduate,STEM,9,<10,Early Stage Startup,1,11,notmove
0.727,Male,Has relevent experience,Graduate,STEM,10,10/49,Pvt Ltd,2,113,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,10000+,Pvt Ltd,1,40,notmove
0.92,Male,Has relevent experience,Masters,STEM,>20,<10,Pvt Ltd,>4,56,notmove
0.926,Male,Has relevent experience,Graduate,STEM,19,500-999,Pvt Ltd,2,64,notmove
0.754,Male,Has relevent experience,Graduate,STEM,5,10000+,Pvt Ltd,1,51,notmove
0.855,Female,Has relevent experience,Graduate,STEM,6,1000-4999,Pvt Ltd,2,41,notmove
0.579,Male,Has relevent experience,Graduate,STEM,4,10/49,Pvt Ltd,1,320,notmove
0.804,Male,Has relevent experience,Graduate,STEM,9,5000-9999,Pvt Ltd,1,74,notmove
0.923,Male,Has relevent experience,Graduate,STEM,>20,10/49,Pvt Ltd,>4,166,notmove
0.913,Male,Has relevent experience,Graduate,STEM,2,50-99,Pvt Ltd,1,110,notmove
0.926,Male,Has relevent experience,Masters,STEM,>20,50-99,Pvt Ltd,>4,31,notmove
0.743,Male,No relevent experience,Masters,STEM,11,50-99,Pvt Ltd,>4,97,notmove
0.804,Male,Has relevent experience,Phd,STEM,>20,100-500,Pvt Ltd,>4,206,notmove
0.92,Female,Has relevent experience,Graduate,STEM,2,10/49,Funded Startup,1,204,notmove
0.92,Male,Has relevent experience,Masters,STEM,18,10000+,Pvt Ltd,2,116,notmove
0.92,Male,Has relevent experience,Graduate,STEM,20,10000+,Pvt Ltd,never,107,notmove
0.91,Male,Has relevent experience,Graduate,STEM,10,<10,Pvt Ltd,1,140,notmove
0.939,Male,Has relevent experience,Graduate,Humanities,3,10000+,Pvt Ltd,2,75,notmove
0.855,Female,Has relevent experience,Masters,STEM,9,100-500,Pvt Ltd,2,42,move
0.91,Female,Has relevent experience,Graduate,STEM,7,10000+,Pvt Ltd,1,22,notmove
0.913,Male,Has relevent experience,Masters,STEM,>20,500-999,Pvt Ltd,>4,143,notmove
0.855,Female,Has relevent experience,Graduate,STEM,14,50-99,Pvt Ltd,2,72,notmove
0.897,Male,No relevent experience,Graduate,STEM,3,50-99,Early Stage Startup,1,182,notmove
0.915,Male,Has relevent experience,Graduate,STEM,15,50-99,Pvt Ltd,4,50,notmove
0.91,Male,Has relevent experience,Graduate,STEM,2,10000+,Pvt Ltd,1,58,notmove
0.802,Male,Has relevent experience,Masters,STEM,5,100-500,Pvt Ltd,4,124,notmove
0.92,Female,Has relevent experience,Graduate,STEM,9,50-99,Pvt Ltd,1,17,notmove
0.91,Male,No relevent experience,Masters,STEM,5,10000+,Pvt Ltd,never,31,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,50-99,Funded Startup,1,31,notmove
0.92,Male,Has relevent experience,Graduate,STEM,6,50-99,Pvt Ltd,1,55,notmove
0.878,Male,Has relevent experience,Masters,STEM,>20,1000-4999,Pvt Ltd,3,32,move
0.776,Male,Has relevent experience,Graduate,STEM,18,100-500,Funded Startup,>4,51,notmove
0.804,Male,Has relevent experience,Graduate,STEM,9,5000-9999,Pvt Ltd,2,22,notmove
0.899,Male,Has relevent experience,Graduate,STEM,5,10/49,Funded Startup,1,19,notmove
0.624,Male,Has relevent experience,Masters,STEM,9,50-99,Pvt Ltd,2,46,move
0.91,Female,Has relevent experience,Graduate,STEM,13,50-99,Pvt Ltd,>4,15,notmove
0.893,Male,Has relevent experience,Graduate,STEM,>20,100-500,Pvt Ltd,>4,38,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,1000-4999,Public Sector,>4,52,notmove
0.926,Male,Has relevent experience,Masters,STEM,15,100-500,Pvt Ltd,2,65,notmove
0.92,Male,Has relevent experience,Graduate,STEM,7,5000-9999,Pvt Ltd,4,86,notmove
0.926,Male,No relevent experience,Graduate,STEM,3,1000-4999,Public Sector,1,86,notmove
0.91,Male,Has relevent experience,Masters,STEM,>20,100-500,Pvt Ltd,>4,53,notmove
0.939,Male,Has relevent experience,Phd,STEM,>20,50-99,Pvt Ltd,2,166,notmove
0.92,Male,Has relevent experience,Graduate,STEM,17,100-500,Pvt Ltd,>4,106,notmove
0.836,Male,No relevent experience,Graduate,STEM,6,<10,Pvt Ltd,never,58,notmove
0.91,Male,Has relevent experience,Masters,STEM,6,50-99,Funded Startup,1,72,notmove
0.939,Male,Has relevent experience,Masters,STEM,16,5000-9999,NGO,2,166,notmove
0.92,Male,Has relevent experience,Graduate,Business Degree,>20,10000+,Pvt Ltd,never,109,notmove
0.884,Male,Has relevent experience,Graduate,STEM,1,<10,Early Stage Startup,1,37,notmove
0.89,Male,No relevent experience,Graduate,STEM,9,50-99,Pvt Ltd,3,51,notmove
0.92,Male,Has relevent experience,Graduate,STEM,16,50-99,Funded Startup,1,84,notmove
0.926,Male,Has relevent experience,Graduate,STEM,>20,500-999,NGO,1,72,notmove
0.92,Male,No relevent experience,Graduate,Other,2,1000-4999,Public Sector,1,64,notmove
0.896,Male,Has relevent experience,Masters,STEM,15,10000+,Pvt Ltd,>4,23,move
0.884,Male,No relevent experience,Masters,STEM,14,100-500,Public Sector,3,96,notmove
0.754,Male,Has relevent experience,Graduate,STEM,9,<10,NGO,1,8,notmove
0.762,Male,Has relevent experience,Graduate,STEM,>20,100-500,Pvt Ltd,1,48,notmove
0.624,Male,Has relevent experience,Graduate,STEM,8,10/49,Pvt Ltd,1,98,move
0.92,Male,Has relevent experience,Graduate,Arts,>20,<10,Pvt Ltd,1,102,notmove
0.92,Male,No relevent experience,Graduate,STEM,>20,50-99,Pvt Ltd,>4,32,notmove
0.92,Female,Has relevent experience,Graduate,STEM,4,5000-9999,Pvt Ltd,1,7,notmove
0.91,Male,Has relevent experience,Graduate,STEM,16,10/49,Pvt Ltd,1,53,notmove
0.855,Male,Has relevent experience,Graduate,STEM,10,10/49,Funded Startup,1,161,notmove
0.897,Male,No relevent experience,Masters,STEM,8,10/49,Pvt Ltd,1,11,notmove
0.794,Female,Has relevent experience,Masters,Humanities,6,50-99,Pvt Ltd,1,182,notmove
0.939,Male,Has relevent experience,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,67,notmove
0.884,Female,No relevent experience,Graduate,STEM,5,100-500,Pvt Ltd,1,16,notmove
0.91,Male,Has relevent experience,Graduate,STEM,>20,10000+,Pvt Ltd,>4,38,notmove
0.884,Male,Has relevent experience,Masters,STEM,4,100-500,Pvt Ltd,2,112,notmove
0.91,Male,Has relevent experience,Graduate,STEM,19,100-500,Pvt Ltd,4,24,notmove
0.92,Male,Has relevent experience,Masters,Humanities,2,10000+,NGO,1,28,notmove
0.878,Male,Has relevent experience,Graduate,STEM,10,50-99,Public Sector,1,166,notmove
0.624,Male,Has relevent experience,Masters,STEM,10,50-99,Pvt Ltd,2,61,move
0.762,Male,Has relevent experience,Graduate,STEM,>20,50-99,Public Sector,3,24,notmove
0.878,Male,Has relevent experience,Graduate,STEM,>20,10/49,Pvt Ltd,>4,29,notmove
0.92,Male,Has relevent experience,Graduate,STEM,9,10000+,Public Sector,>4,11,move
0.762,Male,Has relevent experience,Graduate,STEM,8,50-99,Pvt Ltd,>4,87,notmove
0.92,Male,Has relevent experience,Graduate,STEM,8,10/49,Funded Startup,1,18,notmove
0.827,Male,Has relevent experience,Graduate,Arts,9,1000-4999,Pvt Ltd,1,76,move
0.624,Male,Has relevent experience,Graduate,STEM,6,10000+,Pvt Ltd,1,114,notmove
0.923,Male,Has relevent experience,Graduate,STEM,>20,500-999,Pvt Ltd,>4,80,notmove
0.776,Male,Has relevent experience,Graduate,STEM,14,1000-4999,Pvt Ltd,never,52,notmove
0.624,Female,Has relevent experience,Graduate,STEM,<1,50-99,Pvt Ltd,1,13,notmove
0.836,Male,Has relevent experience,Masters,Humanities,2,100-500,Pvt Ltd,1,36,notmove
0.926,Male,Has relevent experience,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,67,notmove
0.91,Male,Has relevent experience,Phd,STEM,15,10000+,Pvt Ltd,1,58,notmove
0.624,Male,Has relevent experience,Graduate,STEM,7,100-500,Pvt Ltd,1,18,move
0.802,Male,Has relevent experience,Graduate,STEM,<1,10000+,Pvt Ltd,2,11,notmove
0.92,Male,Has relevent experience,Graduate,Other,10,50-99,Pvt Ltd,>4,206,notmove
0.939,Male,Has relevent experience,Masters,STEM,>20,10000+,Pvt Ltd,>4,88,notmove
0.926,Male,Has relevent experience,Masters,STEM,14,10000+,Pvt Ltd,2,16,notmove
0.924,Male,Has relevent experience,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,95,notmove
0.795,Male,Has relevent experience,Masters,STEM,>20,100-500,Public Sector,>4,94,notmove
0.92,Male,Has relevent experience,Graduate,No Major,17,10/49,Pvt Ltd,3,20,notmove
0.624,Male,Has relevent experience,Graduate,STEM,6,10000+,Pvt Ltd,4,78,move
0.939,Male,Has relevent experience,Graduate,STEM,>20,10000+,Pvt Ltd,3,2,notmove
0.794,Female,Has relevent experience,Graduate,STEM,9,100-500,Pvt Ltd,>4,206,notmove
0.682,Male,Has relevent experience,Graduate,STEM,12,100-500,Pvt Ltd,3,25,notmove
0.624,Male,Has relevent experience,Graduate,STEM,5,10/49,Pvt Ltd,1,8,move
0.926,Male,Has relevent experience,Graduate,STEM,9,500-999,Pvt Ltd,2,22,notmove
0.92,Male,Has relevent experience,Graduate,Humanities,19,100-500,Pvt Ltd,>4,90,notmove
0.926,Male,Has relevent experience,Graduate,STEM,7,<10,Pvt Ltd,1,120,notmove
0.624,Male,Has relevent experience,Graduate,STEM,4,50-99,Pvt Ltd,never,18,move
0.802,Male,Has relevent experience,Graduate,STEM,8,5000-9999,Pvt Ltd,2,314,notmove
0.558,Male,No relevent experience,Graduate,STEM,<1,<10,Early Stage Startup,1,146,move
0.796,Male,Has relevent experience,Graduate,STEM,11,100-500,Pvt Ltd,>4,25,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,50-99,Pvt Ltd,>4,50,move
0.92,Male,Has relevent experience,Graduate,STEM,9,10000+,Pvt Ltd,>4,30,notmove
0.698,Male,Has relevent experience,Graduate,STEM,18,10000+,Pvt Ltd,4,39,notmove
0.91,Male,Has relevent experience,Graduate,STEM,>20,50-99,Pvt Ltd,1,43,move
0.855,Male,Has relevent experience,Graduate,Humanities,9,10000+,Pvt Ltd,2,226,notmove
0.624,Male,Has relevent experience,Graduate,STEM,7,50-99,Pvt Ltd,1,50,notmove
0.624,Male,Has relevent experience,Masters,STEM,5,100-500,Pvt Ltd,1,15,move
0.92,Male,Has relevent experience,Graduate,STEM,5,100-500,Pvt Ltd,2,14,notmove
0.91,Male,Has relevent experience,Graduate,STEM,10,500-999,Pvt Ltd,1,74,notmove
0.926,Male,Has relevent experience,Masters,STEM,14,500-999,Pvt Ltd,1,52,notmove
0.624,Male,Has relevent experience,Graduate,STEM,8,100-500,Pvt Ltd,1,54,move
0.754,Male,No relevent experience,Graduate,STEM,8,<10,Early Stage Startup,1,50,notmove
0.895,Male,Has relevent experience,Masters,STEM,17,<10,Early Stage Startup,1,42,notmove
0.91,Male,Has relevent experience,Phd,STEM,>20,100-500,Pvt Ltd,4,11,notmove
0.91,Male,Has relevent experience,Masters,STEM,10,50-99,Pvt Ltd,2,74,notmove
0.89,Male,Has relevent experience,Graduate,STEM,9,50-99,Pvt Ltd,>4,90,notmove
0.855,Male,No relevent experience,Masters,STEM,>20,100-500,Pvt Ltd,2,234,notmove
0.624,Male,No relevent experience,Graduate,STEM,3,500-999,Pvt Ltd,3,11,move
0.924,Male,Has relevent experience,Masters,Humanities,7,<10,Pvt Ltd,1,163,notmove
0.91,Male,Has relevent experience,Graduate,STEM,10,50-99,Pvt Ltd,4,9,notmove
0.827,Male,Has relevent experience,Graduate,STEM,5,10/49,Public Sector,1,6,notmove
0.939,Male,Has relevent experience,Graduate,STEM,11,1000-4999,Pvt Ltd,>4,72,notmove
0.926,Male,Has relevent experience,Graduate,STEM,18,100-500,NGO,3,84,notmove
0.698,Male,Has relevent experience,Graduate,STEM,14,50-99,Public Sector,>4,24,notmove
0.92,Male,Has relevent experience,Graduate,Humanities,17,50-99,Funded Startup,2,8,notmove
0.624,Male,Has relevent experience,Graduate,STEM,9,100-500,Pvt Ltd,1,74,move
0.92,Male,Has relevent experience,Graduate,STEM,>20,100-500,Pvt Ltd,>4,151,notmove
0.624,Male,Has relevent experience,Graduate,STEM,11,50-99,Pvt Ltd,1,4,notmove
0.926,Male,Has relevent experience,Graduate,STEM,7,10000+,Pvt Ltd,3,29,notmove
0.91,Male,Has relevent experience,Masters,STEM,>20,10000+,Pvt Ltd,2,78,notmove
0.624,Male,Has relevent experience,Graduate,STEM,2,<10,Pvt Ltd,2,141,move
0.866,Male,Has relevent experience,Masters,STEM,12,50-99,Pvt Ltd,1,30,notmove
0.624,Male,Has relevent experience,Graduate,STEM,8,100-500,Pvt Ltd,2,104,move
0.884,Male,Has relevent experience,Graduate,STEM,12,<10,Early Stage Startup,1,98,notmove
0.92,Male,Has relevent experience,Masters,STEM,>20,10/49,Pvt Ltd,>4,9,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,<10,Early Stage Startup,3,53,notmove
0.893,Male,Has relevent experience,Masters,STEM,12,10000+,Pvt Ltd,1,107,notmove
0.926,Male,Has relevent experience,Masters,STEM,>20,100-500,Pvt Ltd,1,24,notmove
0.92,Male,Has relevent experience,Graduate,STEM,12,1000-4999,Pvt Ltd,>4,80,notmove
0.754,Male,Has relevent experience,Graduate,STEM,>20,100-500,Pvt Ltd,2,96,notmove
0.624,Male,No relevent experience,Graduate,STEM,4,10/49,Pvt Ltd,1,11,move
0.92,Male,Has relevent experience,Graduate,STEM,15,10/49,Pvt Ltd,>4,46,notmove
0.624,Male,Has relevent experience,Graduate,Other,5,100-500,Pvt Ltd,1,20,notmove
0.92,Male,Has relevent experience,Graduate,STEM,11,10000+,Pvt Ltd,>4,34,notmove
0.92,Male,Has relevent experience,Graduate,STEM,11,50-99,Pvt Ltd,3,17,notmove
0.92,Female,No relevent experience,Graduate,Humanities,3,100-500,Pvt Ltd,3,40,notmove
0.762,Male,Has relevent experience,Masters,STEM,8,1000-4999,Public Sector,1,45,notmove
0.925,Male,Has relevent experience,Graduate,STEM,8,50-99,Funded Startup,2,85,notmove
0.666,Male,Has relevent experience,Graduate,STEM,6,50-99,Pvt Ltd,1,110,notmove
0.762,Male,Has relevent experience,Graduate,STEM,12,100-500,Pvt Ltd,3,6,notmove
0.92,Male,Has relevent experience,Masters,Humanities,15,1000-4999,Pvt Ltd,4,11,notmove
0.897,Male,Has relevent experience,Masters,STEM,6,10/49,Early Stage Startup,1,91,notmove
0.767,Male,Has relevent experience,Graduate,Humanities,>20,<10,Pvt Ltd,2,28,notmove
